COD_UBIGEO,NOMB_DISTRITO,COD_PROVINCIA
010101,CHACHAPOYAS,0101
010102,ASUNCION,0101
010103,BALSAS,0101
010104,CHETO,0101
010105,CHILIQUIN,0101
010106,CHUQUIBAMBA,0101
010107,GRANADA,0101
010108,HUANCAS,0101
010109,LA JALCA,0101
010110,LEIMEBAMBA,0101
010111,LEVANTO,0101
010112,MAGDALENA,0101
010113,MARISCAL CASTILLA,0101
010114,MOLINOPAMPA,0101
010115,MONTEVIDEO,0101
010116,OLLEROS,0101
010117,QUINJALCA,0101
010118,SAN FRANCISCO DE DAGUAS,0101
010119,SAN ISIDRO DE MAINO,0101
010120,SOLOCO,0101
010121,SONCHE,0101
010201,BAGUA,0102
010202,ARAMANGO,0102
010203,COPALLIN,0102
010204,EL PARCO,0102
010205,IMAZA,0102
010206,LA PECA,0102
010301,JUMBILLA,0103
010302,CHISQUILLA,0103
010303,CHURUJA,0103
010304,COROSHA,0103
010305,CUISPES,0103
010306,FLORIDA,0103
010307,JAZAN,0103
010308,RECTA,0103
010309,SAN CARLOS,0103
010310,SHIPASBAMBA,0103
010311,VALERA,0103
010312,YAMBRASBAMBA,0103
010401,NIEVA,0104
010402,EL CENEPA,0104
010403,RIO SANTIAGO,0104
010501,LAMUD,0105
010502,CAMPORREDONDO,0105
010503,COCABAMBA,0105
010504,COLCAMAR,0105
010505,CONILA,0105
010506,INGUILPATA,0105
010507,LONGUITA,0105
010508,LONYA CHICO,0105
010509,LUYA,0105
010510,LUYA VIEJO,0105
010511,MARIA,0105
010512,OCALLI,0105
010513,OCUMAL,0105
010514,PISUQUIA,0105
010515,PROVIDENCIA,0105
010516,SAN CRISTOBAL,0105
010517,SAN FRANCISCO DEL YESO,0105
010518,SAN JERONIMO,0105
010519,SAN JUAN DE LOPECANCHA,0105
010520,SANTA CATALINA,0105
010521,SANTO TOMAS,0105
010522,TINGO,0105
010523,TRITA,0105
010601,SAN NICOLAS,0106
010602,CHIRIMOTO,0106
010603,COCHAMAL,0106
010604,HUAMBO,0106
010605,LIMABAMBA,0106
010606,LONGAR,0106
010607,MARISCAL BENAVIDES,0106
010608,MILPUC,0106
010609,OMIA,0106
010610,SANTA ROSA,0106
010611,TOTORA,0106
010612,VISTA ALEGRE,0106
010701,BAGUA GRANDE,0107
010702,CAJARURO,0107
010703,CUMBA,0107
010704,EL MILAGRO,0107
010705,JAMALCA,0107
010706,LONYA GRANDE,0107
010707,YAMON,0107
020101,HUARAZ,0201
020102,COCHABAMBA,0201
020103,COLCABAMBA,0201
020104,HUANCHAY,0201
020105,INDEPENDENCIA,0201
020106,JANGAS,0201
020107,LA LIBERTAD,0201
020108,OLLEROS,0201
020109,PAMPAS,0201
020110,PARIACOTO,0201
020111,PIRA,0201
020112,TARICA,0201
020201,AIJA,0202
020202,CORIS,0202
020203,HUACLLAN,0202
020204,LA MERCED,0202
020205,SUCCHA,0202
020301,LLAMELLIN,0203
020302,ACZO,0203
020303,CHACCHO,0203
020304,CHINGAS,0203
020305,MIRGAS,0203
020306,SAN JUAN DE RONTOY,0203
020401,CHACAS,0204
020402,ACOCHACA,0204
020501,CHIQUIAN,0205
020502,ABELARDO PARDO LEZAMETA,0205
020503,ANTONIO RAYMONDI,0205
020504,AQUIA,0205
020505,CAJACAY,0205
020506,CANIS,0205
020507,COLQUIOC,0205
020508,HUALLANCA,0205
020509,HUASTA,0205
020510,HUAYLLACAYAN,0205
020511,LA PRIMAVERA,0205
020512,MANGAS,0205
020513,PACLLON,0205
020514,SAN MIGUEL DE CORPANQUI,0205
020515,TICLLOS,0205
020601,CARHUAZ,0206
020602,ACOPAMPA,0206
020603,AMASHCA,0206
020604,ANTA,0206
020605,ATAQUERO,0206
020606,MARCARA,0206
020607,PARIAHUANCA,0206
020608,SAN MIGUEL DE ACO,0206
020609,SHILLA,0206
020610,TINCO,0206
020611,YUNGAR,0206
020701,SAN LUIS,0207
020702,SAN NICOLAS,0207
020703,YAUYA,0207
020801,CASMA,0208
020802,BUENA VISTA ALTA,0208
020803,COMANDANTE NOEL,0208
020804,YAUTAN,0208
020901,CORONGO,0209
020902,ACO,0209
020903,BAMBAS,0209
020904,CUSCA,0209
020905,LA PAMPA,0209
020906,YANAC,0209
020907,YUPAN,0209
021001,HUARI,0210
021002,ANRA,0210
021003,CAJAY,0210
021004,CHAVIN DE HUANTAR,0210
021005,HUACACHI,0210
021006,HUACCHIS,0210
021007,HUACHIS,0210
021008,HUANTAR,0210
021009,MASIN,0210
021010,PAUCAS,0210
021011,PONTO,0210
021012,RAHUAPAMPA,0210
021013,RAPAYAN,0210
021014,SAN MARCOS,0210
021015,SAN PEDRO DE CHANA,0210
021016,UCO,0210
021101,HUARMEY,0211
021102,COCHAPETI,0211
021103,CULEBRAS,0211
021104,HUAYAN,0211
021105,MALVAS,0211
021201,CARAZ,0212
021202,HUALLANCA,0212
021203,HUATA,0212
021204,HUAYLAS,0212
021205,MATO,0212
021206,PAMPAROMAS,0212
021207,PUEBLO LIBRE,0212
021208,SANTA CRUZ,0212
021209,SANTO TORIBIO,0212
021210,YURACMARCA,0212
021301,PISCOBAMBA,0213
021302,CASCA,0213
021303,ELEAZAR GUZMAN BARRON,0213
021304,FIDEL OLIVAS ESCUDERO,0213
021305,LLAMA,0213
021306,LLUMPA,0213
021307,LUCMA,0213
021308,MUSGA,0213
021401,OCROS,0214
021402,ACAS,0214
021403,CAJAMARQUILLA,0214
021404,CARHUAPAMPA,0214
021405,COCHAS,0214
021406,CONGAS,0214
021407,LLIPA,0214
021408,SAN CRISTOBAL DE RAJAN,0214
021409,SAN PEDRO,0214
021410,SANTIAGO DE CHILCAS,0214
021501,CABANA,0215
021502,BOLOGNESI,0215
021503,CONCHUCOS,0215
021504,HUACASCHUQUE,0215
021505,HUANDOVAL,0215
021506,LACABAMBA,0215
021507,LLAPO,0215
021508,PALLASCA,0215
021509,PAMPAS,0215
021510,SANTA ROSA,0215
021511,TAUCA,0215
021601,POMABAMBA,0216
021602,HUAYLLAN,0216
021603,PAROBAMBA,0216
021604,QUINUABAMBA,0216
021701,RECUAY,0217
021702,CATAC,0217
021703,COTAPARACO,0217
021704,HUAYLLAPAMPA,0217
021705,LLACLLIN,0217
021706,MARCA,0217
021707,PAMPAS CHICO,0217
021708,PARARIN,0217
021709,TAPACOCHA,0217
021710,TICAPAMPA,0217
021801,CHIMBOTE,0218
021802,CACERES DEL PERU,0218
021803,COISHCO,0218
021804,MACATE,0218
021805,MORO,0218
021806,NEPEÑA,0218
021807,SAMANCO,0218
021808,SANTA,0218
021809,NUEVO CHIMBOTE,0218
021901,SIHUAS,0219
021902,ACOBAMBA,0219
021903,ALFONSO UGARTE,0219
021904,CASHAPAMPA,0219
021905,CHINGALPO,0219
021906,HUAYLLABAMBA,0219
021907,QUICHES,0219
021908,RAGASH,0219
021909,SAN JUAN,0219
021910,SICSIBAMBA,0219
022001,YUNGAY,0220
022002,CASCAPARA,0220
022003,MANCOS,0220
022004,MATACOTO,0220
022005,QUILLO,0220
022006,RANRAHIRCA,0220
022007,SHUPLUY,0220
022008,YANAMA,0220
030101,ABANCAY,0301
030102,CHACOCHE,0301
030103,CIRCA,0301
030104,CURAHUASI,0301
030105,HUANIPACA,0301
030106,LAMBRAMA,0301
030107,PICHIRHUA,0301
030108,SAN PEDRO DE CACHORA,0301
030109,TAMBURCO,0301
030201,ANDAHUAYLAS,0302
030202,ANDARAPA,0302
030203,CHIARA,0302
030204,HUANCARAMA,0302
030205,HUANCARAY,0302
030206,HUAYANA,0302
030207,KISHUARA,0302
030208,PACOBAMBA,0302
030209,PACUCHA,0302
030210,PAMPACHIRI,0302
030211,POMACOCHA,0302
030212,SAN ANTONIO DE CACHI,0302
030213,SAN JERONIMO,0302
030214,SAN MIGUEL DE CHACCRAMPA,0302
030215,SANTA MARIA DE CHICMO,0302
030216,TALAVERA,0302
030217,TUMAY HUARACA,0302
030218,TURPO,0302
030219,KAQUIABAMBA,0302
030220,JOSE MARIA ARGUEDAS,0302
030301,ANTABAMBA,0303
030302,EL ORO,0303
030303,HUAQUIRCA,0303
030304,JUAN ESPINOZA MEDRANO,0303
030305,OROPESA,0303
030306,PACHACONAS,0303
030307,SABAINO,0303
030401,CHALHUANCA,0304
030402,CAPAYA,0304
030403,CARAYBAMBA,0304
030404,CHAPIMARCA,0304
030405,COLCABAMBA,0304
030406,COTARUSE,0304
030407,HUAYLLO,0304
030408,JUSTO APU SAHUARAURA,0304
030409,LUCRE,0304
030410,POCOHUANCA,0304
030411,SAN JUAN DE CHACÑA,0304
030412,SAÑAYCA,0304
030413,SORAYA,0304
030414,TAPAIRIHUA,0304
030415,TINTAY,0304
030416,TORAYA,0304
030417,YANACA,0304
030501,TAMBOBAMBA,0305
030502,COTABAMBAS,0305
030503,COYLLURQUI,0305
030504,HAQUIRA,0305
030505,MARA,0305
030506,CHALLHUAHUACHO,0305
030601,CHINCHEROS,0306
030602,ANCO-HUALLO,0306
030603,COCHARCAS,0306
030604,HUACCANA,0306
030605,OCOBAMBA,0306
030606,ONGOY,0306
030607,URANMARCA,0306
030608,RANRACANCHA,0306
030609,ROCCHACC,0306
030610,EL PORVENIR,0306
030611,LOS CHANKAS,0306
030612,AHUAYRO,0306
030701,CHUQUIBAMBILLA,0307
030702,CURPAHUASI,0307
030703,GAMARRA,0307
030704,HUAYLLATI,0307
030705,MAMARA,0307
030706,MICAELA BASTIDAS,0307
030707,PATAYPAMPA,0307
030708,PROGRESO,0307
030709,SAN ANTONIO,0307
030710,SANTA ROSA,0307
030711,TURPAY,0307
030712,VILCABAMBA,0307
030713,VIRUNDO,0307
030714,CURASCO,0307
040101,AREQUIPA,0401
040102,ALTO SELVA ALEGRE,0401
040103,CAYMA,0401
040104,CERRO COLORADO,0401
040105,CHARACATO,0401
040106,CHIGUATA,0401
040107,JACOBO HUNTER,0401
040108,LA JOYA,0401
040109,MARIANO MELGAR,0401
040110,MIRAFLORES,0401
040111,MOLLEBAYA,0401
040112,PAUCARPATA,0401
040113,POCSI,0401
040114,POLOBAYA,0401
040115,QUEQUEÑA,0401
040116,SABANDIA,0401
040117,SACHACA,0401
040118,SAN JUAN DE SIGUAS,0401
040119,SAN JUAN DE TARUCANI,0401
040120,SANTA ISABEL DE SIGUAS,0401
040121,SANTA RITA DE SIGUAS,0401
040122,SOCABAYA,0401
040123,TIABAYA,0401
040124,UCHUMAYO,0401
040125,VITOR,0401
040126,YANAHUARA,0401
040127,YARABAMBA,0401
040128,YURA,0401
040129,JOSE LUIS BUSTAMANTE Y RIVERO,0401
040201,CAMANA,0402
040202,JOSE MARIA QUIMPER,0402
040203,MARIANO NICOLAS VALCARCEL,0402
040204,MARISCAL CACERES,0402
040205,NICOLAS DE PIEROLA,0402
040206,OCOÑA,0402
040207,QUILCA,0402
040208,SAMUEL PASTOR,0402
040301,CARAVELI,0403
040302,ACARI,0403
040303,ATICO,0403
040304,ATIQUIPA,0403
040305,BELLA UNION,0403
040306,CAHUACHO,0403
040307,CHALA,0403
040308,CHAPARRA,0403
040309,HUANUHUANU,0403
040310,JAQUI,0403
040311,LOMAS,0403
040312,QUICACHA,0403
040313,YAUCA,0403
040401,APLAO,0404
040402,ANDAGUA,0404
040403,AYO,0404
040404,CHACHAS,0404
040405,CHILCAYMARCA,0404
040406,CHOCO,0404
040407,HUANCARQUI,0404
040408,MACHAGUAY,0404
040409,ORCOPAMPA,0404
040410,PAMPACOLCA,0404
040411,TIPAN,0404
040412,UÑON,0404
040413,URACA,0404
040414,VIRACO,0404
040501,CHIVAY,0405
040502,ACHOMA,0405
040503,CABANACONDE,0405
040504,CALLALLI,0405
040505,CAYLLOMA,0405
040506,COPORAQUE,0405
040507,HUAMBO,0405
040508,HUANCA,0405
040509,ICHUPAMPA,0405
040510,LARI,0405
040511,LLUTA,0405
040512,MACA,0405
040513,MADRIGAL,0405
040514,SAN ANTONIO DE CHUCA,0405
040515,SIBAYO,0405
040516,TAPAY,0405
040517,TISCO,0405
040518,TUTI,0405
040519,YANQUE,0405
040520,MAJES,0405
040601,CHUQUIBAMBA,0406
040602,ANDARAY,0406
040603,CAYARANI,0406
040604,CHICHAS,0406
040605,IRAY,0406
040606,RIO GRANDE,0406
040607,SALAMANCA,0406
040608,YANAQUIHUA,0406
040701,MOLLENDO,0407
040702,COCACHACRA,0407
040703,DEAN VALDIVIA,0407
040704,ISLAY,0407
040705,MEJIA,0407
040706,PUNTA DE BOMBON,0407
040801,COTAHUASI,0408
040802,ALCA,0408
040803,CHARCANA,0408
040804,HUAYNACOTAS,0408
040805,PAMPAMARCA,0408
040806,PUYCA,0408
040807,QUECHUALLA,0408
040808,SAYLA,0408
040809,TAURIA,0408
040810,TOMEPAMPA,0408
040811,TORO,0408
050101,AYACUCHO,0501
050102,ACOCRO,0501
050103,ACOS VINCHOS,0501
050104,CARMEN ALTO,0501
050105,CHIARA,0501
050106,OCROS,0501
050107,PACAYCASA,0501
050108,QUINUA,0501
050109,SAN JOSE DE TICLLAS,0501
050110,SAN JUAN BAUTISTA,0501
050111,SANTIAGO DE PISCHA,0501
050112,SOCOS,0501
050113,TAMBILLO,0501
050114,VINCHOS,0501
050115,JESUS NAZARENO,0501
050116,ANDRES AVELINO CACERES DORREGARAY,0501
050201,CANGALLO,0502
050202,CHUSCHI,0502
050203,LOS MOROCHUCOS,0502
050204,MARIA PARADO DE BELLIDO,0502
050205,PARAS,0502
050206,TOTOS,0502
050301,SANCOS,0503
050302,CARAPO,0503
050303,SACSAMARCA,0503
050304,SANTIAGO DE LUCANAMARCA,0503
050401,HUANTA,0504
050402,AYAHUANCO,0504
050403,HUAMANGUILLA,0504
050404,IGUAIN,0504
050405,LURICOCHA,0504
050406,SANTILLANA,0504
050407,SIVIA,0504
050408,LLOCHEGUA,0504
050409,CANAYRE,0504
050410,UCHURACCAY,0504
050411,PUCACOLPA,0504
050412,CHACA,0504
050413,PUTIS,0504
050501,SAN MIGUEL,0505
050502,ANCO,0505
050503,AYNA,0505
050504,CHILCAS,0505
050505,CHUNGUI,0505
050506,LUIS CARRANZA,0505
050507,SANTA ROSA,0505
050508,TAMBO,0505
050509,SAMUGARI,0505
050510,ANCHIHUAY,0505
050511,ORONCCOY,0505
050512,UNION PROGRESO,0505
050513,RIO MAGDALENA,0505
050514,NINABAMBA,0505
050515,PATIBAMBA,0505
050601,PUQUIO,0506
050602,AUCARA,0506
050603,CABANA,0506
050604,CARMEN SALCEDO,0506
050605,CHAVIÑA,0506
050606,CHIPAO,0506
050607,HUAC-HUAS,0506
050608,LARAMATE,0506
050609,LEONCIO PRADO,0506
050610,LLAUTA,0506
050611,LUCANAS,0506
050612,OCAÑA,0506
050613,OTOCA,0506
050614,SAISA,0506
050615,SAN CRISTOBAL,0506
050616,SAN JUAN,0506
050617,SAN PEDRO,0506
050618,SAN PEDRO DE PALCO,0506
050619,SANCOS,0506
050620,SANTA ANA DE HUAYCAHUACHO,0506
050621,SANTA LUCIA,0506
050701,CORACORA,0507
050702,CHUMPI,0507
050703,CORONEL CASTAÑEDA,0507
050704,PACAPAUSA,0507
050705,PULLO,0507
050706,PUYUSCA,0507
050707,SAN FRANCISCO DE RAVACAYCO,0507
050708,UPAHUACHO,0507
050801,PAUSA,0508
050802,COLTA,0508
050803,CORCULLA,0508
050804,LAMPA,0508
050805,MARCABAMBA,0508
050806,OYOLO,0508
050807,PARARCA,0508
050808,SAN JAVIER DE ALPABAMBA,0508
050809,SAN JOSE DE USHUA,0508
050810,SARA SARA,0508
050901,QUEROBAMBA,0509
050902,BELEN,0509
050903,CHALCOS,0509
050904,CHILCAYOC,0509
050905,HUACAÑA,0509
050906,MORCOLLA,0509
050907,PAICO,0509
050908,SAN PEDRO DE LARCAY,0509
050909,SAN SALVADOR DE QUIJE,0509
050910,SANTIAGO DE PAUCARAY,0509
050911,SORAS,0509
051001,HUANCAPI,0510
051002,ALCAMENCA,0510
051003,APONGO,0510
051004,ASQUIPATA,0510
051005,CANARIA,0510
051006,CAYARA,0510
051007,COLCA,0510
051008,HUAMANQUIQUIA,0510
051009,HUANCARAYLLA,0510
051010,HUAYA,0510
051011,SARHUA,0510
051012,VILCANCHOS,0510
051101,VILCAS HUAMAN,0511
051102,ACCOMARCA,0511
051103,CARHUANCA,0511
051104,CONCEPCION,0511
051105,HUAMBALPA,0511
051106,INDEPENDENCIA,0511
051107,SAURAMA,0511
051108,VISCHONGO,0511
060101,CAJAMARCA,0601
060102,ASUNCION,0601
060103,CHETILLA,0601
060104,COSPAN,0601
060105,ENCAÑADA,0601
060106,JESUS,0601
060107,LLACANORA,0601
060108,LOS BAÑOS DEL INCA,0601
060109,MAGDALENA,0601
060110,MATARA,0601
060111,NAMORA,0601
060112,SAN JUAN,0601
060201,CAJABAMBA,0602
060202,CACHACHI,0602
060203,CONDEBAMBA,0602
060204,SITACOCHA,0602
060301,CELENDIN,0603
060302,CHUMUCH,0603
060303,CORTEGANA,0603
060304,HUASMIN,0603
060305,JORGE CHAVEZ,0603
060306,JOSE GALVEZ,0603
060307,MIGUEL IGLESIAS,0603
060308,OXAMARCA,0603
060309,SOROCHUCO,0603
060310,SUCRE,0603
060311,UTCO,0603
060312,LA LIBERTAD DE PALLAN,0603
060401,CHOTA,0604
060402,ANGUIA,0604
060403,CHADIN,0604
060404,CHIGUIRIP,0604
060405,CHIMBAN,0604
060406,CHOROPAMPA,0604
060407,COCHABAMBA,0604
060408,CONCHAN,0604
060409,HUAMBOS,0604
060410,LAJAS,0604
060411,LLAMA,0604
060412,MIRACOSTA,0604
060413,PACCHA,0604
060414,PION,0604
060415,QUEROCOTO,0604
060416,SAN JUAN DE LICUPIS,0604
060417,TACABAMBA,0604
060418,TOCMOCHE,0604
060419,CHALAMARCA,0604
060501,CONTUMAZA,0605
060502,CHILETE,0605
060503,CUPISNIQUE,0605
060504,GUZMANGO,0605
060505,SAN BENITO,0605
060506,SANTA CRUZ DE TOLEDO,0605
060507,TANTARICA,0605
060508,YONAN,0605
060601,CUTERVO,0606
060602,CALLAYUC,0606
060603,CHOROS,0606
060604,CUJILLO,0606
060605,LA RAMADA,0606
060606,PIMPINGOS,0606
060607,QUEROCOTILLO,0606
060608,SAN ANDRES DE CUTERVO,0606
060609,SAN JUAN DE CUTERVO,0606
060610,SAN LUIS DE LUCMA,0606
060611,SANTA CRUZ,0606
060612,SANTO DOMINGO DE LA CAPILLA,0606
060613,SANTO TOMAS,0606
060614,SOCOTA,0606
060615,TORIBIO CASANOVA,0606
060701,BAMBAMARCA,0607
060702,CHUGUR,0607
060703,HUALGAYOC,0607
060801,JAEN,0608
060802,BELLAVISTA,0608
060803,CHONTALI,0608
060804,COLASAY,0608
060805,HUABAL,0608
060806,LAS PIRIAS,0608
060807,POMAHUACA,0608
060808,PUCARA,0608
060809,SALLIQUE,0608
060810,SAN FELIPE,0608
060811,SAN JOSE DEL ALTO,0608
060812,SANTA ROSA,0608
060901,SAN IGNACIO,0609
060902,CHIRINOS,0609
060903,HUARANGO,0609
060904,LA COIPA,0609
060905,NAMBALLE,0609
060906,SAN JOSE DE LOURDES,0609
060907,TABACONAS,0609
061001,PEDRO GALVEZ,0610
061002,CHANCAY,0610
061003,EDUARDO VILLANUEVA,0610
061004,GREGORIO PITA,0610
061005,ICHOCAN,0610
061006,JOSE MANUEL QUIROZ,0610
061007,JOSE SABOGAL,0610
061101,SAN MIGUEL,0611
061102,BOLIVAR,0611
061103,CALQUIS,0611
061104,CATILLUC,0611
061105,EL PRADO,0611
061106,LA FLORIDA,0611
061107,LLAPA,0611
061108,NANCHOC,0611
061109,NIEPOS,0611
061110,SAN GREGORIO,0611
061111,SAN SILVESTRE DE COCHAN,0611
061112,TONGOD,0611
061113,UNION AGUA BLANCA,0611
061201,SAN PABLO,0612
061202,SAN BERNARDINO,0612
061203,SAN LUIS,0612
061204,TUMBADEN,0612
061301,SANTA CRUZ,0613
061302,ANDABAMBA,0613
061303,CATACHE,0613
061304,CHANCAYBAÑOS,0613
061305,LA ESPERANZA,0613
061306,NINABAMBA,0613
061307,PULAN,0613
061308,SAUCEPAMPA,0613
061309,SEXI,0613
061310,UTICYACU,0613
061311,YAUYUCAN,0613
070101,CALLAO,0701
070102,BELLAVISTA,0701
070103,CARMEN DE LA LEGUA REYNOSO,0701
070104,LA PERLA,0701
070105,LA PUNTA,0701
070106,VENTANILLA,0701
070107,MI PERU,0701
080101,CUSCO,0801
080102,CCORCA,0801
080103,POROY,0801
080104,SAN JERONIMO,0801
080105,SAN SEBASTIAN,0801
080106,SANTIAGO,0801
080107,SAYLLA,0801
080108,WANCHAQ,0801
080201,ACOMAYO,0802
080202,ACOPIA,0802
080203,ACOS,0802
080204,MOSOC LLACTA,0802
080205,POMACANCHI,0802
080206,RONDOCAN,0802
080207,SANGARARA,0802
080301,ANTA,0803
080302,ANCAHUASI,0803
080303,CACHIMAYO,0803
080304,CHINCHAYPUJIO,0803
080305,HUAROCONDO,0803
080306,LIMATAMBO,0803
080307,MOLLEPATA,0803
080308,PUCYURA,0803
080309,ZURITE,0803
080401,CALCA,0804
080402,COYA,0804
080403,LAMAY,0804
080404,LARES,0804
080405,PISAC,0804
080406,SAN SALVADOR,0804
080407,TARAY,0804
080408,YANATILE,0804
080501,YANAOCA,0805
080502,CHECCA,0805
080503,KUNTURKANKI,0805
080504,LANGUI,0805
080505,LAYO,0805
080506,PAMPAMARCA,0805
080507,QUEHUE,0805
080508,TUPAC AMARU,0805
080601,SICUANI,0806
080602,CHECACUPE,0806
080603,COMBAPATA,0806
080604,MARANGANI,0806
080605,PITUMARCA,0806
080606,SAN PABLO,0806
080607,SAN PEDRO,0806
080608,TINTA,0806
080701,SANTO TOMAS,0807
080702,CAPACMARCA,0807
080703,CHAMACA,0807
080704,COLQUEMARCA,0807
080705,LIVITACA,0807
080706,LLUSCO,0807
080707,QUIÑOTA,0807
080708,VELILLE,0807
080801,ESPINAR,0808
080802,CONDOROMA,0808
080803,COPORAQUE,0808
080804,OCORURO,0808
080805,PALLPATA,0808
080806,PICHIGUA,0808
080807,SUYCKUTAMBO,0808
080808,ALTO PICHIGUA,0808
080901,SANTA ANA,0809
080902,ECHARATE,0809
080903,HUAYOPATA,0809
080904,MARANURA,0809
080905,OCOBAMBA,0809
080906,QUELLOUNO,0809
080907,QUIMBIRI,0809
080908,SANTA TERESA,0809
080909,VILCABAMBA,0809
080910,PICHARI,0809
080911,INKAWASI,0809
080912,VILLA VIRGEN,0809
080913,VILLA KINTIARINA,0809
080914,MEGANTONI,0809
080915,KUMPIRUSHIATO,0809
080916,CIELO PUNCO,0809
080917,MANITEA,0809
080918,UNION ASHÁNINKA,0809
081001,PARURO,0810
081002,ACCHA,0810
081003,CCAPI,0810
081004,COLCHA,0810
081005,HUANOQUITE,0810
081006,OMACHA,0810
081007,PACCARITAMBO,0810
081008,PILLPINTO,0810
081009,YAURISQUE,0810
081101,PAUCARTAMBO,0811
081102,CAICAY,0811
081103,CHALLABAMBA,0811
081104,COLQUEPATA,0811
081105,HUANCARANI,0811
081106,KOSÑIPATA,0811
081201,URCOS,0812
081202,ANDAHUAYLILLAS,0812
081203,CAMANTI,0812
081204,CCARHUAYO,0812
081205,CCATCA,0812
081206,CUSIPATA,0812
081207,HUARO,0812
081208,LUCRE,0812
081209,MARCAPATA,0812
081210,OCONGATE,0812
081211,OROPESA,0812
081212,QUIQUIJANA,0812
081301,URUBAMBA,0813
081302,CHINCHERO,0813
081303,HUAYLLABAMBA,0813
081304,MACHUPICCHU,0813
081305,MARAS,0813
081306,OLLANTAYTAMBO,0813
081307,YUCAY,0813
090101,HUANCAVELICA,0901
090102,ACOBAMBILLA,0901
090103,ACORIA,0901
090104,CONAYCA,0901
090105,CUENCA,0901
090106,HUACHOCOLPA,0901
090107,HUAYLLAHUARA,0901
090108,IZCUCHACA,0901
090109,LARIA,0901
090110,MANTA,0901
090111,MARISCAL CACERES,0901
090112,MOYA,0901
090113,NUEVO OCCORO,0901
090114,PALCA,0901
090115,PILCHACA,0901
090116,VILCA,0901
090117,YAULI,0901
090118,ASCENSION,0901
090119,HUANDO,0901
090201,ACOBAMBA,0902
090202,ANDABAMBA,0902
090203,ANTA,0902
090204,CAJA,0902
090205,MARCAS,0902
090206,PAUCARA,0902
090207,POMACOCHA,0902
090208,ROSARIO,0902
090301,LIRCAY,0903
090302,ANCHONGA,0903
090303,CALLANMARCA,0903
090304,CCOCHACCASA,0903
090305,CHINCHO,0903
090306,CONGALLA,0903
090307,HUANCA-HUANCA,0903
090308,HUAYLLAY GRANDE,0903
090309,JULCAMARCA,0903
090310,SAN ANTONIO DE ANTAPARCO,0903
090311,SANTO TOMAS DE PATA,0903
090312,SECCLLA,0903
090401,CASTROVIRREYNA,0904
090402,ARMA,0904
090403,AURAHUA,0904
090404,CAPILLAS,0904
090405,CHUPAMARCA,0904
090406,COCAS,0904
090407,HUACHOS,0904
090408,HUAMATAMBO,0904
090409,MOLLEPAMPA,0904
090410,SAN JUAN,0904
090411,SANTA ANA,0904
090412,TANTARA,0904
090413,TICRAPO,0904
090501,CHURCAMPA,0905
090502,ANCO,0905
090503,CHINCHIHUASI,0905
090504,EL CARMEN,0905
090505,LA MERCED,0905
090506,LOCROJA,0905
090507,PAUCARBAMBA,0905
090508,SAN MIGUEL DE MAYOCC,0905
090509,SAN PEDRO DE CORIS,0905
090510,PACHAMARCA,0905
090511,COSME,0905
090601,HUAYTARA,0906
090602,AYAVI,0906
090603,CORDOVA,0906
090604,HUAYACUNDO ARMA,0906
090605,LARAMARCA,0906
090606,OCOYO,0906
090607,PILPICHACA,0906
090608,QUERCO,0906
090609,QUITO-ARMA,0906
090610,SAN ANTONIO DE CUSICANCHA,0906
090611,SAN FRANCISCO DE SANGAYAICO,0906
090612,SAN ISIDRO,0906
090613,SANTIAGO DE CHOCORVOS,0906
090614,SANTIAGO DE QUIRAHUARA,0906
090615,SANTO DOMINGO DE CAPILLAS,0906
090616,TAMBO,0906
090701,PAMPAS,0907
090702,ACOSTAMBO,0907
090703,ACRAQUIA,0907
090704,AHUAYCHA,0907
090705,COLCABAMBA,0907
090706,DANIEL HERNANDEZ,0907
090707,HUACHOCOLPA,0907
090709,HUARIBAMBA,0907
090710,ÑAHUIMPUQUIO,0907
090711,PAZOS,0907
090713,QUISHUAR,0907
090714,SALCABAMBA,0907
090715,SALCAHUASI,0907
090716,SAN MARCOS DE ROCCHAC,0907
090717,SURCUBAMBA,0907
